TPS,Espacement,Densite,id plante,id talle,topologie,nb_feuille_emergees,Biomasse_feuilles_emergees,Surface_feuilles_emergees
14.0,50.0,400,2,1,"(0,)",1,4.0908934661221776e-07,4.453451233985471
14.0,50.0,400,3,1,"(0,)",1,4.0908934661221776e-07,4.453451233985471
14.0,50.0,400,4,1,"(0,)",1,4.0908934661221776e-07,4.453451233985471
15.0,50.0,400,1,1,"(0,)",1,5.83724303964894e-07,4.453451233985471
15.0,50.0,400,2,1,"(0,)",1,5.83724303964894e-07,4.453451233985471
15.0,50.0,400,3,1,"(0,)",1,5.83724303964894e-07,4.453451233985471
15.0,50.0,400,4,1,"(0,)",1,5.83724303964894e-07,4.453451233985471
16.0,50.0,400,1,1,"(0,)",1,8.09042242858717e-07,4.453451233985471
16.0,50.0,400,2,1,"(0,)",1,8.09042242858717e-07,4.453451233985471
16.0,50.0,400,3,1,"(0,)",1,8.09042242858717e-07,4.453451233985471
16.0,50.0,400,4,1,"(0,)",1,8.09042242858717e-07,4.453451233985471
17.0,50.0,400,1,1,"(0,)",1,1.0939063642110506e-06,4.453451233985471
17.0,50.0,400,2,1,"(0,)",1,1.0939063642110506e-06,4.453451233985471
17.0,50.0,400,3,1,"(0,)",1,1.0939063642110506e-06,4.453451233985471
17.0,50.0,400,4,1,"(0,)",1,1.0939063642110506e-06,4.453451233985471
18.0,50.0,400,1,1,"(0,)",1,1.4478335120962292e-06,4.453451233985471
18.0,50.0,400,2,1,"(0,)",1,1.4478335120962292e-06,4.453451233985471
18.0,50.0,400,3,1,"(0,)",1,1.4478335120962292e-06,4.453451233985471
18.0,50.0,400,4,1,"(0,)",1,1.4478335120962292e-06,4.453451233985471
19.0,50.0,400,1,1,"(0,)",1,1.8809756719840016e-06,4.453451233985471
19.0,50.0,400,2,1,"(0,)",1,1.8809756719840016e-06,4.453451233985471
19.0,50.0,400,3,1,"(0,)",1,1.8809756719840016e-06,4.453451233985471
19.0,50.0,400,4,1,"(0,)",1,1.8809756719840016e-06,4.453451233985471
20.0,50.0,400,1,1,"(0,)",1,2.404101169476594e-06,4.453451233985471
20.0,50.0,400,2,1,"(0,)",1,2.404101169476594e-06,4.453451233985471
20.0,50.0,400,3,1,"(0,)",1,2.404101169476594e-06,4.453451233985471
20.0,50.0,400,4,1,"(0,)",1,2.404101169476594e-06,4.453451233985471
21.0,50.0,400,1,1,"(0,)",1,3.0285757831689365e-06,4.453451233985471
21.0,50.0,400,2,1,"(0,)",1,3.0285757831689365e-06,4.453451233985471
21.0,50.0,400,3,1,"(0,)",1,3.0285757831689365e-06,4.453451233985471
21.0,50.0,400,4,1,"(0,)",1,3.0285757831689365e-06,4.453451233985471
22.0,50.0,400,1,1,"(0,)",1,3.7663439662881516e-06,4.453451233985471
22.0,50.0,400,2,1,"(0,)",1,3.7663439662881516e-06,4.453451233985471
22.0,50.0,400,3,1,"(0,)",1,3.7663439662881516e-06,4.453451233985471
22.0,50.0,400,4,1,"(0,)",1,3.7663439662881516e-06,4.453451233985471
23.0,50.0,400,1,1,"(0,)",1,4.629910355649241e-06,4.453451233985471
23.0,50.0,400,2,1,"(0,)",1,4.629910355649241e-06,4.453451233985471
23.0,50.0,400,3,1,"(0,)",1,4.629910355649241e-06,4.453451233985471
23.0,50.0,400,4,1,"(0,)",1,4.629910355649241e-06,4.453451233985471
24.0,50.0,400,1,1,"(0,)",1,5.632321732270047e-06,4.453451233985471
24.0,50.0,400,2,1,"(0,)",1,5.632321732270047e-06,4.453451233985471
24.0,50.0,400,3,1,"(0,)",1,5.632321732270047e-06,4.453451233985471
24.0,50.0,400,4,1,"(0,)",1,5.632321732270047e-06,4.453451233985471
25.0,50.0,400,1,1,"(0,)",1,6.787149585000528e-06,4.453451233985471
25.0,50.0,400,2,1,"(0,)",1,6.787149585000528e-06,4.453451233985471
25.0,50.0,400,3,1,"(0,)",1,6.787149585000528e-06,4.453451233985471
25.0,50.0,400,4,1,"(0,)",1,6.787149585000528e-06,4.453451233985471
26.0,50.0,400,1,1,"(0,)",1,8.10847341639609e-06,4.453451233985471
26.0,50.0,400,2,1,"(0,)",1,8.10847341639609e-06,4.453451233985471
26.0,50.0,400,3,1,"(0,)",1,8.10847341639609e-06,4.453451233985471
26.0,50.0,400,4,1,"(0,)",1,8.10847341639609e-06,4.453451233985471
27.0,50.0,400,1,1,"(0,)",1,9.610864918437973e-06,4.453451233985471
27.0,50.0,400,2,1,"(0,)",1,9.610864918437973e-06,4.453451233985471
27.0,50.0,400,3,1,"(0,)",1,9.610864918437973e-06,4.453451233985471
27.0,50.0,400,4,1,"(0,)",1,9.610864918437973e-06,4.453451233985471
28.0,50.0,400,1,1,"(0,)",1,1.1309373134372504e-05,4.453451233985471
28.0,50.0,400,2,1,"(0,)",1,1.1309373134372504e-05,4.453451233985471
28.0,50.0,400,3,1,"(0,)",1,1.1309373134372504e-05,4.453451233985471
28.0,50.0,400,4,1,"(0,)",1,1.1309373134372504e-05,4.453451233985471
29.0,50.0,400,1,1,"(0,)",1,1.3219510711825388e-05,4.453451233985471
29.0,50.0,400,2,1,"(0,)",1,1.3219510711825388e-05,4.453451233985471
29.0,50.0,400,3,1,"(0,)",1,1.3219510711825388e-05,4.453451233985471
29.0,50.0,400,4,1,"(0,)",1,1.3219510711825388e-05,4.453451233985471
30.0,50.0,400,1,1,"(0,)",1,1.5357241341287143e-05,4.453451233985471
30.0,50.0,400,2,1,"(0,)",1,1.5357241341287143e-05,4.453451233985471
30.0,50.0,400,3,1,"(0,)",1,1.5357241341287143e-05,4.453451233985471
30.0,50.0,400,4,1,"(0,)",1,1.5357241341287143e-05,4.453451233985471
31.0,50.0,400,1,1,"(0,)",1,1.7738968463034413e-05,4.453451233985471
31.0,50.0,400,2,1,"(0,)",1,1.7738968463034413e-05,4.453451233985471
31.0,50.0,400,3,1,"(0,)",1,1.7738968463034413e-05,4.453451233985471
31.0,50.0,400,4,1,"(0,)",1,1.7738968463034413e-05,4.453451233985471
32.0,50.0,400,1,1,"(0,)",1,2.0381525314534453e-05,4.453451233985471
32.0,50.0,400,2,1,"(0,)",1,2.0381525314534453e-05,4.453451233985471
32.0,50.0,400,3,1,"(0,)",1,2.0381525314534453e-05,4.453451233985471
32.0,50.0,400,4,1,"(0,)",1,2.0381525314534453e-05,4.453451233985471
33.0,50.0,400,1,1,"(0,)",1,2.330216637929278e-05,4.453451233985471
33.0,50.0,400,2,1,"(0,)",1,2.330216637929278e-05,4.453451233985471
33.0,50.0,400,3,1,"(0,)",1,2.330216637929278e-05,4.453451233985471
33.0,50.0,400,4,1,"(0,)",1,2.330216637929278e-05,4.453451233985471
34.0,50.0,400,1,1,"(0,)",1,2.6518560286994313e-05,4.453451233985471
34.0,50.0,400,2,1,"(0,)",1,2.6518560286994313e-05,4.453451233985471
34.0,50.0,400,3,1,"(0,)",1,2.6518560286994313e-05,4.453451233985471
34.0,50.0,400,4,1,"(0,)",1,2.6518560286994313e-05,4.453451233985471
35.0,50.0,400,1,1,"(0,)",1,3.004878420359613e-05,4.453451233985471
35.0,50.0,400,2,1,"(0,)",1,3.004878420359613e-05,4.453451233985471
35.0,50.0,400,3,1,"(0,)",1,3.004878420359613e-05,4.453451233985471
35.0,50.0,400,4,1,"(0,)",1,3.004878420359613e-05,4.453451233985471
36.0,50.0,400,1,1,"(0,)",1,3.391131973876761e-05,4.453451233985471
36.0,50.0,400,2,1,"(0,)",1,3.391131973876761e-05,4.453451233985471
36.0,50.0,400,3,1,"(0,)",1,3.391131973876761e-05,4.453451233985471
36.0,50.0,400,4,1,"(0,)",1,3.391131973876761e-05,4.453451233985471
37.0,50.0,400,1,1,"(0,)",1,3.812505038670639e-05,4.453451233985471
37.0,50.0,400,2,1,"(0,)",1,3.812505038670639e-05,4.453451233985471
37.0,50.0,400,3,1,"(0,)",1,3.812505038670639e-05,4.453451233985471
37.0,50.0,400,4,1,"(0,)",1,3.812505038670639e-05,4.453451233985471
38.0,50.0,400,1,1,"(0,)",1,4.270926050488134e-05,4.453451233985471
38.0,50.0,400,2,1,"(0,)",1,4.270926050488134e-05,4.453451233985471
38.0,50.0,400,3,1,"(0,)",1,4.270926050488134e-05,4.453451233985471
38.0,50.0,400,4,1,"(0,)",1,4.270926050488134e-05,4.453451233985471
39.0,50.0,400,1,1,"(0,)",1,4.768363582363597e-05,4.453451233985471
39.0,50.0,400,2,1,"(0,)",1,4.768363582363597e-05,4.453451233985471
39.0,50.0,400,3,1,"(0,)",1,4.768363582363597e-05,4.453451233985471
39.0,50.0,400,4,1,"(0,)",1,4.768363582363597e-05,4.453451233985471
40.0,50.0,400,1,1,"(0,)",1,5.3068265467748e-05,4.453451233985471
40.0,50.0,400,2,1,"(0,)",1,5.3068265467748e-05,4.453451233985471
40.0,50.0,400,3,1,"(0,)",1,5.3068265467748e-05,4.453451233985471
40.0,50.0,400,4,1,"(0,)",1,5.3068265467748e-05,4.453451233985471
41.0,50.0,400,1,1,"(0,)",1,5.888364545901991e-05,4.453451233985471
41.0,50.0,400,2,1,"(0,)",1,5.888364545901991e-05,4.453451233985471
41.0,50.0,400,3,1,"(0,)",1,5.888364545901991e-05,4.453451233985471
41.0,50.0,400,4,1,"(0,)",1,5.888364545901991e-05,4.453451233985471
42.0,50.0,400,1,1,"(0,)",1,6.515068365661618e-05,4.453451233985471
42.0,50.0,400,2,1,"(0,)",1,6.515068365661618e-05,4.453451233985471
42.0,50.0,400,3,1,"(0,)",1,6.515068365661618e-05,4.453451233985471
42.0,50.0,400,4,1,"(0,)",1,6.515068365661618e-05,4.453451233985471
43.0,50.0,400,1,1,"(0,)",1,7.189070607917067e-05,4.453451233985471
43.0,50.0,400,2,1,"(0,)",1,7.189070607917067e-05,4.453451233985471
43.0,50.0,400,3,1,"(0,)",1,7.189070607917067e-05,4.453451233985471
43.0,50.0,400,4,1,"(0,)",1,7.189070607917067e-05,4.453451233985471
44.0,50.0,400,1,1,"(0,)",1,7.912546453953005e-05,4.453451233985471
44.0,50.0,400,2,1,"(0,)",1,7.912546453953005e-05,4.453451233985471
44.0,50.0,400,3,1,"(0,)",1,7.912546453953005e-05,4.453451233985471
44.0,50.0,400,4,1,"(0,)",1,7.912546453953005e-05,4.453451233985471
45.0,50.0,400,1,1,"(0,)",1,8.687714550932875e-05,4.453451233985471
45.0,50.0,400,2,1,"(0,)",1,8.687714550932875e-05,4.453451233985471
45.0,50.0,400,3,1,"(0,)",1,8.687714550932875e-05,4.453451233985471
45.0,50.0,400,4,1,"(0,)",1,8.687714550932875e-05,4.453451233985471
46.0,50.0,400,1,1,"(0,)",2,9.516838011623061e-05,4.453451233985471
46.0,50.0,400,2,1,"(0,)",2,9.516838011623061e-05,4.453451233985471
46.0,50.0,400,3,1,"(0,)",2,9.516838011623061e-05,4.453451233985471
46.0,50.0,400,4,1,"(0,)",2,9.516838011623061e-05,4.453451233985471
47.0,50.0,400,1,1,"(0,)",2,0.00010402228493663447,4.453451233985471
47.0,50.0,400,2,1,"(0,)",2,0.00010402228493663447,4.453451233985471
47.0,50.0,400,3,1,"(0,)",2,0.00010402228493663447,4.453451233985471
47.0,50.0,400,4,1,"(0,)",2,0.00010402228493663447,4.453451233985471
48.0,50.0,400,1,1,"(0,)",2,0.0001134628562386438,4.453451233985471
48.0,50.0,400,2,1,"(0,)",2,0.0001134628562386438,4.453451233985471
48.0,50.0,400,3,1,"(0,)",2,0.0001134628562386438,4.453451233985471
48.0,50.0,400,4,1,"(0,)",2,0.0001134628562386438,4.453451233985471
49.0,50.0,400,1,1,"(0,)",2,0.00012351548246542927,4.453451233985471
