date,site,mean_temperature,daylength
2018_11_24,treatment_1_bloc_8,15.71180556,13
2018_11_24,treatment_1_bloc_1,15.71180556,13
2018_11_24,treatment_2_bloc_6,15.71180556,13
2018_11_24,treatment_2_bloc_4,15.71180556,13
2018_11_24,treatment_2_bloc_9,15.71180556,13
2018_11_24,treatment_2_bloc_3,15.71180556,13
2018_11_24,treatment_2_bloc_2,15.71180556,13
2018_11_24,treatment_2_bloc_5,15.71180556,13
2018_11_24,treatment_2_bloc_7,15.71180556,13
2018_11_24,treatment_2_bloc_8,15.71180556,13
2018_11_24,treatment_2_bloc_1,15.71180556,13
2018_11_24,treatment_3_bloc_6,15.71180556,13
2018_11_24,treatment_3_bloc_4,15.71180556,13
2018_11_24,treatment_3_bloc_9,15.71180556,13
2018_11_24,treatment_3_bloc_3,15.71180556,13
2018_11_24,treatment_3_bloc_2,15.71180556,13
2018_11_24,treatment_3_bloc_5,15.71180556,13
2018_11_24,treatment_3_bloc_7,15.71180556,13
2018_11_24,treatment_3_bloc_8,15.71180556,13
2018_11_24,treatment_3_bloc_1,15.71180556,13
2018_11_25,treatment_1_bloc_8,14.42881944,13
2018_11_25,treatment_1_bloc_2,14.42881944,13
2018_11_25,treatment_1_bloc_3,14.42881944,13
2018_11_25,treatment_1_bloc_9,14.42881944,13
2018_11_25,treatment_1_bloc_4,14.42881944,13
2018_11_25,treatment_1_bloc_1,14.42881944,13
2018_11_25,treatment_1_bloc_5,14.42881944,13
2018_11_25,treatment_1_bloc_7,14.42881944,13
2018_11_25,treatment_1_bloc_6,14.42881944,13
2018_11_25,treatment_2_bloc_8,14.42881944,13
2018_11_25,treatment_2_bloc_2,14.42881944,13
2018_11_25,treatment_2_bloc_3,14.42881944,13
2018_11_25,treatment_2_bloc_9,14.42881944,13
2018_11_25,treatment_2_bloc_4,14.42881944,13
2018_11_25,treatment_2_bloc_1,14.42881944,13
2018_11_25,treatment_2_bloc_5,14.42881944,13
2018_11_25,treatment_2_bloc_7,14.42881944,13
2018_11_25,treatment_2_bloc_6,14.42881944,13
2018_11_25,treatment_3_bloc_8,14.42881944,13
2018_11_25,treatment_3_bloc_2,14.42881944,13
2018_11_25,treatment_3_bloc_3,14.42881944,13
2018_11_25,treatment_3_bloc_9,14.42881944,13
2018_11_25,treatment_3_bloc_4,14.42881944,13
2018_11_25,treatment_3_bloc_1,14.42881944,13
2018_11_25,treatment_3_bloc_5,14.42881944,13
2018_11_25,treatment_3_bloc_7,14.42881944,13
2018_11_25,treatment_3_bloc_6,14.42881944,13
2018_11_26,treatment_1_bloc_8,14.84375,13
2018_11_26,treatment_1_bloc_5,14.84375,13
2018_11_26,treatment_1_bloc_4,14.84375,13
2018_11_26,treatment_1_bloc_3,14.84375,13
2018_11_26,treatment_1_bloc_7,14.84375,13
2018_11_26,treatment_1_bloc_9,14.84375,13
2018_11_26,treatment_1_bloc_6,14.84375,13
2018_11_26,treatment_1_bloc_1,14.84375,13
2018_11_26,treatment_1_bloc_2,14.84375,13
2018_11_26,treatment_2_bloc_8,14.84375,13
2018_11_26,treatment_2_bloc_5,14.84375,13
2018_11_26,treatment_2_bloc_4,14.84375,13
2018_11_26,treatment_2_bloc_3,14.84375,13
2018_11_26,treatment_2_bloc_7,14.84375,13
2018_11_26,treatment_2_bloc_9,14.84375,13
2018_11_26,treatment_2_bloc_6,14.84375,13
2018_11_26,treatment_2_bloc_1,14.84375,13
2018_11_26,treatment_2_bloc_2,14.84375,13
